lcz_lib,lcz_code,insee,commune,expo_jour,expo_nuit,vulnerabilite_jour,vulnerabilite_nuit,surface,gid
Ensemble d'immeubles compact,LCZ 2,69389,Lyon 9e Arrondissement,fort,fort,moyen,moyen,584,
Grandes emprises tertiaires bâti bas,LCZ 8,69389,Lyon 9e Arrondissement,moyen,faible,moyen,moyen,14904,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69259,Vénissieux,moyen,faible,fort,fort,22366,
Ensemble de maisons espacées,LCZ 6,69383,Lyon 3e Arrondissement,moyen,moyen,fort,fort,9139,
Ensemble de maisons compact,LCZ 3,69388,Lyon 8e Arrondissement,moyen,moyen,moyen,moyen,20400,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69384,Lyon 4e Arrondissement,fort,fort,fort,fort,3334,
Arbres épars,LCZ B,69286,Rillieux-la-Pape,moyen,faible,moyen,moyen,213900,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,5861,
Grandes emprises tertiaires bâti bas,LCZ 8,69292,Sathonay-Camp,moyen,faible,moyen,fort,39681,
Arbres denses,LCZ A,69081,Écully,effet rafraîchissant,effet rafraîchissant,faible,faible,37220,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69266,Villeurbanne,moyen,moyen,moyen,fort,5534,
Ensemble de tours espacées,LCZ 4,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,7024,
Arbres denses,LCZ A,69389,Lyon 9e Arrondissement,effet rafraîchissant,effet rafraîchissant,faible,faible,62669,
Pelouses,,,,,,,,,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69149,Oullins,fort,fort,fort,fort,11293,
Grandes emprises tertiaires bâti bas,LCZ 8,69204,Saint-Genis-Laval,moyen,faible,moyen,moyen,48893,
Ensemble de maisons espacées,LCZ 6,69194,Saint-Didier-au-Mont-d'Or,moyen,faible,moyen,moyen,8822,
Ensemble d'immeubles compact,LCZ 2,69382,Lyon 2e Arrondissement,fort,fort,fort,fort,10829,
Ensemble de maisons espacées,LCZ 6,69256,Vaulx-en-Velin,moyen,faible,fort,moyen,38300,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,8729,
Ensemble d'immeubles compact,LCZ 2,69383,Lyon 3e Arrondissement,fort,moyen,fort,fort,3878,
Maisons éparses,,,,,,,,,
Grandes emprises tertiaires bâti bas,LCZ 8,69290,Saint-Priest,moyen,faible,moyen,moyen,43606,
Ensemble d'immeubles compact,LCZ 2,69381,Lyon 1er Arrondissement,fort,fort,fort,fort,11449,
Ensemble d'immeubles compact,LCZ 2,69290,Saint-Priest,fort,moyen,fort,fort,14695,
Ensemble d'immeubles compact,LCZ 2,69388,Lyon 8e Arrondissement,fort,faible,fort,moyen,72551,
